nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,smoker,nationalité_francaise,revenu_estime_mois,risque_personnel,loyer_mensuel,montant_pret,anciennete_jours,sit_fam_célibataire,sit_fam_divorcé,sit_fam_marié,sit_fam_veuf,region_Auvergne-Rhône-Alpes,region_Bretagne,region_Corse,region_Hauts-de-France,region_Normandie,region_Occitanie,region_Provence-Alpes-Côte d’Azur,region_Île-de-France
Ramirez,Casey,1.5734015655234812,-0.889838380297368,-0.1840982034288955,1,0,0.7081788102778006,0,1,-1.44186584896209,-1.3412745070708652,0.1705798321348693,0.32154136058340316,-1.2819894138581855,1,0,0,0,0,0,0,0,0,1,0,0
Hill,Phillip,-0.14950686426038257,-0.1802670868088526,0.3220905993769607,1,0,-0.6988921419928146,0,1,2.3637259779515323,1.0028034401814396,1.0,0.8105995719913223,-0.4834745424930102,1,0,0,0,0,0,0,0,0,0,0,1
Hernandez,Martin,1.4545802945039044,-0.9697900753383257,-1.6360608220035864,1,0,1.411714286413108,1,1,1.10357900336049,-1.2723310380340327,0.5190110867944494,0.44394710450630964,-0.46090781786747265,1,0,0,0,1,0,0,0,0,0,0,0
Miller,Michael,0.9198845749158087,-0.8098866852564073,1.1746191093657699,0,1,-0.6988921419928146,1,1,0.669075469795375,-0.617368082184124,1.0,0.39388278649202557,-0.8306549213474342,0,1,0,0,1,0,0,0,0,0,0,0
Walker,Matthew,-1.694183387514881,0.7991411774429029,0.5019208319527244,0,1,-0.6988921419928146,0,1,1.191173528091182,0.5546708914420284,0.3736870205141771,0.2524571679150071,-0.25780729623763454,1,0,0,0,0,0,1,0,0,0,0,0
Haney,Jacob,1.0981164814451738,0.949050605644702,-0.5704001845175746,0,0,-0.6988921419928146,0,0,0.049842889025929656,0.27889701529469824,0.5190110867944494,0.0,-0.33765878337415206,0,0,0,1,0,0,0,0,0,1,0,0
Alexander,Christopher,-1.4565408454757274,0.07957592207426818,-0.6103624584233002,0,0,0.7081788102778006,1,1,-1.5658858196203962,-0.13476379892629653,0.1053192563911402,0.0,-0.2803740208631721,1,0,0,0,0,1,0,0,0,0,0,0
Walsh,Nicole,0.4445994908375015,-0.00037577296669248617,-0.5837209424861499,1,1,-1.402427618128122,1,1,0.09494106017440467,-0.9620854273682866,1.0,0.0,-0.46264371976174473,0,0,1,0,0,0,0,0,0,0,0,1
Flores,Mark,0.8604739394060203,0.5193102447995434,-0.7702115540462018,1,1,1.411714286413108,1,1,-0.8217659956705585,1.209633847291937,0.5190110867944494,0.10147133195602734,-1.3653127047832474,0,1,0,0,0,0,1,0,0,0,0,0
Fernandez,Justin,-1.100077032416997,-0.8398685708967683,0.7416944753870777,0,1,0.7081788102778006,1,1,-1.7514821393468127,0.5546708914420284,1.0,0.0,0.4625919898852954,1,0,0,0,0,0,0,1,0,0,0,0
Liu,Michael,-1.100077032416997,1.1789117288874618,0.7350340964027895,0,0,0.7081788102778006,0,1,0.2840064699891653,-0.4450094095920428,0.08788918015439745,0.5662050010417056,1.5978718287392621,0,0,1,0,0,1,0,0,0,0,0,0
Young,Lisa,-1.3377195744561505,-0.09032142988777253,-0.1308151715545951,1,0,1.411714286413108,1,1,0.7982990755861976,-1.2378593035156165,0.623256198744619,0.44635109811769114,0.006049791691727747,0,0,1,0,0,0,0,0,0,0,1,0
Smith,Jose,-0.26832813527995936,0.019612150793546262,-1.109890882244868,0,1,0.004643334142492988,1,1,1.7245461291741075,-0.5828963476657077,0.11799716216541209,0.20233332952166982,1.0128728903695576,1,0,0,0,0,1,0,0,0,0,0,0
Wilson,Dennis,0.3851888553277131,-1.1796632748208469,0.9481662238999921,0,1,1.411714286413108,1,1,-1.4175822183436804,-0.06582032988946417,0.5190110867944494,0.30163625288578366,1.1881989816910417,0,0,1,0,0,0,0,1,0,0,0,0
Taylor,Jeffery,0.6228313973668667,-1.1097055416600055,-0.8501361018576529,1,1,0.7081788102778006,1,1,0.5155682333861428,0.0031231391473683823,1.0,0.49666628736424645,0.2160939208986543,1,0,0,0,0,0,0,0,0,0,0,1
Warren,Alexander,-1.4565408454757274,-1.4495002455840842,0.9947888767900053,1,1,0.7081788102778006,0,1,-0.8833423447386687,-1.3757462415892816,1.0,0.40147369653122483,0.7629030175943722,0,0,1,0,0,0,0,0,0,1,0,0
Farmer,Angela,-0.09009622875059416,1.798537365454897,1.1679587303814818,0,0,-0.6988921419928146,1,1,-0.589336959751495,0.07206660818420094,0.0953560520430004,0.0,0.9850984600612036,1,0,0,0,0,0,0,0,0,1,0,0
Scott,Tara,-0.5653813128289014,-0.54004971449317,1.6674871542030498,1,1,-1.402427618128122,0,0,-0.4072097301134229,0.0031231391473683823,0.6422246699213584,0.0,-1.4503718976025812,0,0,1,0,1,0,0,0,0,0,0,0
Moreno,Dennis,-0.6842025838484782,0.0595879983140266,0.8815624340571163,0,0,-1.402427618128122,0,0,1.206784433488731,0.5891426259604448,0.8076044347177798,0.0,0.35843787622896817,0,1,0,0,0,0,0,0,0,0,1,0
Stewart,Emily,-0.7436132193582666,-1.2096451604612048,0.255486809534085,0,0,-1.402427618128122,1,1,1.1287299065009857,-1.582576648699779,0.14786945960895603,0.0,1.3583173673297095,0,0,1,0,0,0,0,0,0,0,0,1
Montes,Joseph,-1.0406663969072085,-0.47009198133232866,0.5951661377327508,1,0,1.411714286413108,0,1,-1.7514821393468127,0.0031231391473683823,0.1270888146028234,0.42266938058299963,0.02167290874017683,0,0,1,0,1,0,0,0,0,0,0,0
Torres,Victoria,-1.3377195744561505,-0.06033954424741157,-0.7901926909990643,0,0,-1.402427618128122,1,0,0.6499954743094817,-0.16923553344471282,0.628202111541329,0.0,0.5094613410306427,1,0,0,0,0,1,0,0,0,0,0,0
Ramirez,Peggy,1.6328122010332695,-1.4894760931045645,-0.31064540413035885,1,0,0.004643334142492988,1,1,-1.7514821393468127,-0.9620854273682866,0.364142853707222,0.0,-0.01998873672235406,0,0,0,1,0,0,0,0,1,0,0,0
Murphy,Lori,0.3851888553277131,1.1689177670073396,-0.8900983757633779,1,1,0.7081788102778006,1,1,0.2449792064952927,-1.6859918522550277,0.5190110867944494,0.5383587838046109,-0.5251361879555411,0,0,1,0,0,0,0,0,0,0,0,1
Harrington,Tommy,0.6822420328766551,1.1689177670073396,-0.7369096591247639,0,1,0.004643334142492988,0,1,-1.4635476620142414,0.03759487366578466,0.6287271590389841,0.5758560716267586,0.6518052963609565,0,0,1,0,0,0,1,0,0,0,0,0
Becker,Norma,-0.8624344903778434,-0.29020066749017137,0.4286566631255615,1,0,1.411714286413108,1,0,1.834689739479037,1.0372751746998559,1.0,0.037756068739694434,1.2420119404134775,1,0,0,0,0,0,0,0,0,0,0,1
Brown,Nicholas,0.2663675843081363,-1.709343254467202,0.03569430305259426,0,1,0.7081788102778006,0,0,-1.7514821393468127,1.5888229269945155,1.0,0.0,0.02861651631726531,0,1,0,0,0,0,0,0,0,0,1,0
Crosby,Nicole,-1.4565408454757274,0.029606112673668476,0.9348454659314167,1,0,-1.402427618128122,1,1,-1.4045731305123894,-1.2378593035156165,0.7351476876457997,0.0,0.24560425310128034,0,0,1,0,0,0,0,1,0,0,0,0
Watts,Michael,0.6822420328766551,0.2694611977965448,0.4219962841412743,0,1,-0.6988921419928146,1,0,1.1564826272077395,-0.341594206036794,1.0,0.0,-1.3340664706863492,0,0,1,0,0,0,0,0,0,0,1,0
Moore,Deborah,0.14754631328855947,0.4593464735188243,-0.004267970853130806,1,0,0.7081788102778006,0,1,-0.274517034234256,1.0372751746998559,0.12135542675741323,0.41283834853450024,0.514669046713459,0,0,1,0,0,0,0,0,0,0,1,0
Smith,Molly,1.1575271169549624,-1.3095847792624045,0.2421660515655096,1,0,1.411714286413108,0,0,-0.7350387434619527,-1.306802772552449,0.7294408503883986,0.0,-0.9816783861491087,1,0,0,0,0,0,1,0,0,0,0,0
Grimes,Joseph,1.4545802945039044,-0.050345582367292196,-0.4172114678789606,1,0,0.7081788102778006,0,1,-0.2190115928207483,-1.306802772552449,1.0,0.6940952627911318,1.0823089661404424,0,0,1,0,1,0,0,0,0,0,0,0
Hogan,William,-0.14950686426038257,-0.3801463244112514,-0.910079512716241,0,1,-1.402427618128122,0,1,-0.1470279734876055,-1.4446897106261138,1.0,0.29820269539216565,1.337486544598444,0,0,1,0,1,0,0,0,0,0,0,0
Moore,Mallory,-1.100077032416997,1.0489902244459015,0.20220377765978362,1,1,0.7081788102778006,0,0,-0.2927297571980632,-1.6515201177366114,1.0,0.45848158827053387,-1.4208615653999552,0,0,1,0,0,0,0,0,0,0,0,1
Herman,Angela,-0.8030238548680549,1.4087728521302187,-0.12415479257030694,0,1,-0.6988921419928146,1,1,-1.38462586250441,0.24442528077628192,0.7351476876457997,0.0,0.7386003910745625,0,0,0,1,0,0,0,0,0,0,1,0
Miles,Tracy,-0.030685593240805747,0.9990204150453017,0.6884114435127773,0,0,0.7081788102778006,1,0,-0.2649770364913094,1.2441055818103532,1.0,0.0,-1.722908495003304,0,0,1,0,0,0,0,1,0,0,0,0
Sharp,Patricia,0.32577821981792465,-0.31018859125041015,-0.24404161428748308,0,0,-0.6988921419928146,0,0,-0.4861315296232541,0.0031231391473683823,0.5190110867944494,0.0,-1.7159648874262157,0,0,1,0,0,0,1,0,0,0,0,0
Howard,Timothy,-0.9812557613974202,1.4687366234109378,0.8416001601513913,0,0,-0.6988921419928146,1,1,0.14524286645539602,0.5201991569236122,0.5190110867944494,0.0,1.5631537908538198,1,0,0,0,0,0,0,0,0,1,0,0
